sigla_uf,ano,meta,metodologia
AC,2024,0.5871,interp_linear_2023_2030_v1
AC,2025,0.6559,interp_linear_2023_2030_v1
AC,2026,0.7247,interp_linear_2023_2030_v1
AC,2027,0.7936,interp_linear_2023_2030_v1
AC,2028,0.8624,interp_linear_2023_2030_v1
AC,2029,0.9312,interp_linear_2023_2030_v1
AC,2030,1.0,interp_linear_2023_2030_v1
AL,2024,0.4976,interp_linear_2023_2030_v1
AL,2025,0.5814,interp_linear_2023_2030_v1
AL,2026,0.6651,interp_linear_2023_2030_v1
AL,2027,0.7488,interp_linear_2023_2030_v1
AL,2028,0.8325,interp_linear_2023_2030_v1
AL,2029,0.9163,interp_linear_2023_2030_v1
AL,2030,1.0,interp_linear_2023_2030_v1
AM,2024,0.6221,interp_linear_2023_2030_v1
AM,2025,0.6851,interp_linear_2023_2030_v1
AM,2026,0.7481,interp_linear_2023_2030_v1
AM,2027,0.8111,interp_linear_2023_2030_v1
AM,2028,0.874,interp_linear_2023_2030_v1
AM,2029,0.937,interp_linear_2023_2030_v1
AM,2030,1.0,interp_linear_2023_2030_v1
AP,2024,0.4967,interp_linear_2023_2030_v1
AP,2025,0.5806,interp_linear_2023_2030_v1
AP,2026,0.6645,interp_linear_2023_2030_v1
AP,2027,0.7484,interp_linear_2023_2030_v1
AP,2028,0.8322,interp_linear_2023_2030_v1
AP,2029,0.9161,interp_linear_2023_2030_v1
AP,2030,1.0,interp_linear_2023_2030_v1
BA,2024,0.484,interp_linear_2023_2030_v1
BA,2025,0.57,interp_linear_2023_2030_v1
BA,2026,0.656,interp_linear_2023_2030_v1
BA,2027,0.742,interp_linear_2023_2030_v1
BA,2028,0.828,interp_linear_2023_2030_v1
BA,2029,0.914,interp_linear_2023_2030_v1
BA,2030,1.0,interp_linear_2023_2030_v1
CE,2024,0.8425,interp_linear_2023_2030_v1
CE,2025,0.8687,interp_linear_2023_2030_v1
CE,2026,0.895,interp_linear_2023_2030_v1
CE,2027,0.9212,interp_linear_2023_2030_v1
CE,2028,0.9475,interp_linear_2023_2030_v1
CE,2029,0.9737,interp_linear_2023_2030_v1
CE,2030,1.0,interp_linear_2023_2030_v1
ES,2024,0.7519,interp_linear_2023_2030_v1
ES,2025,0.7932,interp_linear_2023_2030_v1
ES,2026,0.8346,interp_linear_2023_2030_v1
ES,2027,0.8759,interp_linear_2023_2030_v1
ES,2028,0.9173,interp_linear_2023_2030_v1
ES,2029,0.9586,interp_linear_2023_2030_v1
ES,2030,1.0,interp_linear_2023_2030_v1
GO,2024,0.757,interp_linear_2023_2030_v1
GO,2025,0.7975,interp_linear_2023_2030_v1
GO,2026,0.838,interp_linear_2023_2030_v1
GO,2027,0.8785,interp_linear_2023_2030_v1
GO,2028,0.919,interp_linear_2023_2030_v1
GO,2029,0.9595,interp_linear_2023_2030_v1
